date,symbol,company,sector,sub_industry,headquarters,founded,open,high,low,close,volume,return_1d_pct,return_5d_pct,return_1m_pct,return_1y_pct,avg_volume_30d,volume_vs_30d_avg,high_52w,drawdown_from_52w_high_pct,dip_flag
2021-06-25,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,129.98,130.4,129.35,129.64,70783700.0,-0.22,2.03,4.93,,74751540.0,0.95,138.98,-6.72,False
2021-06-28,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,129.93,131.72,129.87,131.26,62111300.0,1.25,1.87,7.58,,74091317.0,0.84,138.98,-5.55,False
2021-06-29,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,131.28,132.93,130.85,132.77,64556100.0,1.15,1.75,9.41,,73768367.0,0.88,138.98,-4.47,False
2021-06-30,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,132.62,133.83,132.33,133.39,63261400.0,0.46,2.44,10.2,,73765650.0,0.86,138.98,-4.03,False
2021-07-01,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,133.04,133.75,132.22,133.69,52485800.0,0.23,2.89,9.76,,72428110.0,0.72,138.98,-3.81,False
2021-07-02,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,134.3,136.35,134.16,136.31,78852600.0,1.96,5.15,13.29,,72494627.0,1.09,138.98,-1.92,False
2021-07-06,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,136.42,139.42,136.42,138.32,108181800.0,1.47,5.37,12.81,,73457507.0,1.47,138.98,-0.48,False
2021-07-07,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,139.8,141.11,138.94,140.8,104911600.0,1.8,6.04,14.83,,74851463.0,1.4,140.8,0.0,False
2021-07-08,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,137.89,140.3,137.0,139.5,105575500.0,-0.92,4.59,13.02,,75970330.0,1.39,140.8,-0.92,False
2021-07-09,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,139.03,141.85,138.93,141.32,99890800.0,1.31,5.71,14.14,,77414160.0,1.29,141.32,0.0,False
2021-07-12,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,142.4,142.5,140.24,140.73,76299700.0,-0.42,3.24,14.58,,76803297.0,0.99,141.32,-0.42,False
2021-07-13,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,140.27,143.61,139.88,141.84,100827100.0,0.79,2.55,14.36,,77787163.0,1.3,141.84,0.0,False
2021-07-14,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,144.24,145.67,143.83,145.26,127050800.0,2.41,3.17,14.31,,79767620.0,1.59,145.26,0.0,False
2021-07-15,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,145.35,146.09,143.25,144.61,106820300.0,-0.45,3.66,14.53,,81352333.0,1.31,145.26,-0.45,False
2021-07-16,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,144.59,145.85,142.07,142.57,93251400.0,-1.41,0.88,12.48,,81919740.0,1.14,145.26,-1.85,False
2021-07-19,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,140.0,140.31,137.97,138.73,121434600.0,-2.69,-1.42,8.09,,83461917.0,1.45,145.26,-4.49,False
2021-07-20,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,139.72,143.26,139.23,142.34,96350000.0,2.6,0.35,12.03,,84304997.0,1.14,145.26,-2.01,False
2021-07-21,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,141.73,142.32,140.86,141.61,74993500.0,-0.51,-2.51,9.9,,84324653.0,0.89,145.26,-2.51,False
2021-07-22,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,142.13,144.33,142.01,142.97,77338200.0,0.96,-1.13,9.57,,85006663.0,0.91,145.26,-1.58,False
2021-07-23,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,143.7,144.84,143.09,144.68,71447400.0,1.2,1.48,11.11,,85015363.0,0.84,145.26,-0.4,False
2021-07-26,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,144.4,145.92,143.85,145.1,72434100.0,0.29,4.59,11.68,,85645753.0,0.85,145.26,-0.11,False
2021-07-27,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,145.23,145.32,141.75,142.94,104818600.0,-1.49,0.42,10.26,,85909490.0,1.22,145.26,-1.6,False
2021-07-28,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,141.03,143.14,138.82,141.2,118931200.0,-1.22,-0.29,7.57,,87782320.0,1.35,145.26,-2.8,False
